Y,X1,X2,X3,X4,X5,X6,X7,X8
0.433,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,0.001
0.55,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
0.4,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
0.45,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
0.53,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
0.4,0.001,7881.562074995143,100.0,1.257042937633573,20.586,433.42857142857144,4.320987020895212,0.001
0.5,0.001,17446.0333006856,100.0,5.279138099902056,8.635,717.3897142857151,3.993700352214312,0.001
0.5,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,0.001
0.55,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,0.001
0.5,0.001,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.7,0.001,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.38,0.001,17349.090909090908,100.0,5.537190082644628,9.776,1038.5,6.1,0.001
0.4,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,0.001
0.55,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,0.001
0.5,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,0.001
0.4,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,0.001
0.4,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,1.0
0.4,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,1.0
0.4,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,1.0
0.65,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,1.0
0.4,0.001,7555.063442662197,100.0,1.7620301651903276,22.088,1677.5,2.4294985250737464,1.0
